Match_ID,Home_team,Away_team,FirstHalf_H,FirstHalf_A,FirstHalf_R,FH_Over_Under_1.5,SecondHalf_H,SecondHalf_A,SecondHalf_R,SH_Over_Under_1.5,Final_H,Final_A,Final_R,F_Over_Under_2.5,Winning_Team,Losing_Team,Payout_Winning Team
344,Middlesbrough,Manchester City,1,0,H,U,1,2,A,O,2,2,D,O,Middlesbrough / Manchester City,Middlesbrough / Manchester City,4.5
345,Manchester United,Swansea,1,0,H,U,0,1,A,U,1,1,D,U,Manchester United / Swansea,Manchester United / Swansea,6
346,Crystal Palace,Burnley,0,1,A,U,0,1,A,U,0,2,A,U,Burnley,Crystal Palace,4.33
347,Southampton,Hull City,0,0,D,U,0,0,D,U,0,0,D,U,Southampton / Hull City,Southampton / Hull City,3.75
348,Stoke City,West Ham,0,0,D,U,0,0,D,U,0,0,D,U,Stoke City / West Ham,Stoke City / West Ham,3.3
349,Sunderland,Bournemouth,0,0,D,U,0,1,A,U,0,1,A,U,Bournemouth,Sunderland,2.5
350,West Brom,Leicester,0,1,A,U,0,0,D,U,0,1,A,U,Leicester,West Brom,2.8
351,Manchester City,Manchester United,0,0,D,U,0,0,D,U,0,0,D,U,Manchester City / Manchester United,Manchester City / Manchester United,3.5
352,Crystal Palace,Tottenham,0,0,D,U,0,1,A,U,0,1,A,U,Tottenham,Crystal Palace,1.57
353,Arsenal,Leicester,0,0,D,U,1,0,H,U,1,0,H,U,Arsenal,Leicester,1.5
354,Middlesbrough,Sunderland,1,0,H,U,0,0,D,U,1,0,H,U,Middlesbrough,Sunderland,1.95
355,Chelsea,Southampton,2,1,H,O,2,1,H,O,4,2,H,O,Chelsea,Southampton,1.36
356,Liverpool,Crystal Palace,1,1,D,O,0,1,A,U,1,2,A,O,Crystal Palace,Liverpool,8
357,Burnley,Manchester United,0,2,A,O,0,0,D,U,0,2,A,U,Manchester United,Burnley,1.53
358,Bournemouth,Middlesbrough,2,0,H,O,2,0,H,O,4,0,H,O,Bournemouth,Middlesbrough,1.91
359,Hull City,Watford,0,0,D,U,2,0,H,O,2,0,H,U,Hull City,Watford,2.1
360,Swansea,Stoke City,1,0,H,U,1,0,H,U,2,0,H,U,Swansea,Stoke City,2.25
361,West Ham,Everton,0,0,D,U,0,0,D,U,0,0,D,U,West Ham / Everton,West Ham / Everton,3.25
362,Middlesbrough,Arsenal,0,1,A,U,1,1,D,O,1,2,A,O,Arsenal,Middlesbrough,1.55
363,Manchester United,Chelsea,1,0,H,U,1,0,H,U,2,0,H,U,Manchester United,Chelsea,2.25
364,West Brom,Liverpool,0,1,A,U,0,0,D,U,0,1,A,U,Liverpool,West Brom,1.85
365,Southampton,Manchester City,0,0,D,U,0,3,A,O,0,3,A,O,Manchester City,Southampton,1.7
366,Crystal Palace,Leicester,0,1,A,U,2,1,H,O,2,2,D,O,Crystal Palace / Leicester,Crystal Palace / Leicester,3.4
367,Everton,Burnley,0,0,D,U,3,1,H,O,3,1,H,O,Everton,Burnley,1.4
368,Stoke City,Hull City,1,0,H,U,2,1,H,O,3,1,H,O,Stoke City,Hull City,1.85
369,Sunderland,West Ham,1,1,D,O,1,1,D,O,2,2,D,O,Sunderland / West Ham,Sunderland / West Ham,3.1
370,Watford,Swansea,1,0,H,U,0,0,D,U,1,0,H,U,Watford,Swansea,2
371,Tottenham,Bournemouth,2,0,H,O,2,0,H,O,4,0,H,O,Tottenham,Bournemouth,1.25
372,Crystal Palace,Arsenal,1,0,H,U,2,0,H,O,3,0,H,O,Crystal Palace,Arsenal,5
